DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,10,0,0,1,0,1,80,0,120,0,40,0,60,0
2,10,0,0,1,0,1,80,0,120,0,40,0,60,0
3,10,0,2,1,0,3,80,0,120,0,40,0,60,0
4,10,0,2,1,0,3,80,0,120,0,40,0,60,0
5,10,0,2,1,0,3,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10,0,2,1,0,3,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10,0,2,1,0,3,80,0,120,0,40,0,60,0
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,10,0,3,2,0,5,80,0,120,0,40,0,60,0
7,10,0,3,2,0,5,80,0,120,0,40,0,60,0
8,10,0,3,2,0,5,80,0,120,0,40,0,60,0
9,10,0,3,2,0,5,80,0,120,0,40,0,60,0
10,10,0,3,2,0,5,80,0,120,0,40,0,60,0
11,57,0,17,2,0,19,80,0,120,0,40,0,60,0
12,57,0,18,2,0,20,80,0,120,0,40,0,60,0
13,57,0,19,2,0,21,80,0,120,0,40,0,60,0
14,57,0,20,2,0,22,80,0,120,0,40,0,60,0
15,41,0,23,3,0,26,80,0,120,0,40,0,60,0
16,41,0,25,3,0,28,80,0,120,0,40,0,60,0
17,41,0,25,3,0,28,80,0,120,0,40,0,60,0
18,41,0,26,3,0,29,80,0,120,0,40,0,60,0
19,41,0,27,3,0,30,80,0,120,0,40,0,60,0
20,41,0,27,3,0,30,80,0,120,0,40,0,60,0
21,91,0,54,3,0,57,80,0,120,0,40,0,60,0
22,91,0,58,3,0,61,80,0,120,0,40,0,60,0
23,91,0,59,4,0,63,80,0,120,0,40,0,60,0
24,91,0,60,4,0,64,80,0,120,0,40,0,60,0
25,73,0,61,4,0,65,80,0,120,0,40,0,60,0
26,67,0,61,4,0,65,80,0,120,0,40,0,60,0
27,65,0,61,4,0,65,80,0,120,0,40,0,60,0
28,65,0,61,4,0,65,80,0,120,0,40,0,60,0
29,65,0,61,4,0,65,80,0,120,0,40,0,60,0
30,65,0,61,4,0,65,80,0,120,0,40,0,60,0
31,115,0,102,4,0,106,80,0,120,0,40,0,60,0
32,115,0,103,4,0,107,80,0,120,0,40,0,60,0
33,115,0,103,4,0,107,80,0,120,0,40,0,60,0
34,115,0,104,4,0,108,80,0,120,0,40,0,60,0
35,115,0,105,4,0,109,80,0,120,0,40,0,60,0
36,115,0,105,4,0,109,80,0,120,0,40,0,60,0
37,115,0,106,4,0,110,80,0,120,0,40,0,60,0
38,115,0,106,4,0,110,80,0,120,0,40,0,60,0
39,115,0,107,4,0,111,80,0,120,0,40,0,60,0
40,115,0,107,4,0,111,80,0,120,0,40,0,60,0
41,165,0,151,5,0,156,80,0,120,0,40,0,60,0
42,165,0,153,5,0,158,80,0,120,0,40,0,60,0
43,165,0,156,5,0,161,80,0,120,0,40,0,60,0
44,165,0,159,5,0,164,80,0,120,0,40,0,60,0
45,165,0,160,5,0,165,80,0,120,0,40,0,60,0
46,165,0,160,5,0,165,80,0,120,0,40,0,60,0
47,165,0,160,5,0,165,80,0,120,0,40,0,60,0
48,165,0,160,5,0,165,80,0,120,0,40,0,60,0
49,165,0,160,5,0,165,80,0,120,0,40,0,60,0
50,165,0,160,5,0,165,80,0,120,0,40,0,60,0
51,215,0,210,5,0,215,80,0,120,0,40,0,60,0
52,215,0,210,5,0,215,80,0,120,0,40,0,60,0
53,215,0,210,5,0,215,80,0,120,0,40,0,60,0
54,215,0,210,5,0,215,80,0,120,0,40,0,60,0
55,215,0,210,5,0,215,80,0,120,0,40,0,60,0
56,215,0,210,5,0,215,80,0,120,0,40,0,60,0
57,215,0,210,5,0,215,80,0,120,0,40,0,60,0
