DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,155,5,0,25,0,25,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
2,242,92,4,69,0,73,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
3,252,102,10,78,4,92,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
4,256,106,14,78,4,96,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
5,257,107,18,83,8,109,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,257,107,18,83,8,109,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,257,107,18,83,8,109,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,258,108,24,88,18,130,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
7,258,108,27,101,21,149,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
8,258,108,30,101,25,156,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
9,258,108,32,102,25,159,0,0,31.42854,167.6191,15.23763,0,34.89081,5.651896
10,258,108,35,106,31,172,24.76189,24.76189,56.19043,93.3334,11.32174,3.465783,29.10319,1.622518
11,312,117,53,106,31,190,71.74604,56.50777,1.587306,69.20648,15.16053,15.07912,22.79774,0.6450672
12,313,118,55,106,35,196,72.27514,57.03687,0,69.73558,15.54578,15.3264,22.38248,0.638159
13,316,121,60,110,35,205,72.27514,57.03687,0,69.73558,15.54578,15.3264,22.38248,0.638159
14,316,121,63,113,35,211,72.27514,57.03687,0,69.73558,15.54578,15.3264,22.38248,0.638159
15,316,121,64,114,35,213,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
16,309,121,68,114,35,217,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
17,309,121,73,115,35,223,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
18,309,121,77,116,35,228,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
19,309,121,77,116,35,228,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
20,309,121,82,116,35,233,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
21,351,121,110,116,35,261,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
22,351,121,111,116,35,262,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
23,352,122,119,116,35,270,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
24,352,122,121,116,35,272,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
25,356,126,128,116,35,279,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
26,339,126,130,122,35,287,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
27,339,126,134,122,35,291,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
28,339,126,136,122,35,293,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
29,339,126,141,122,35,298,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
30,339,126,142,122,35,299,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
31,388,126,179,126,35,340,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
32,388,126,185,126,35,346,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
33,391,128,191,127,35,353,80.21167,64.97339,7.936521,45.92602,19.37729,17.91665,19.01183,0.3501222
34,390,128,192,127,35,354,64.02119,48.78291,0,94.49746,20.82861,18.77653,17.18394,0.6501551
35,390,128,194,127,35,356,85.70247,5.420323,0,116.1787,22.63822,17.53751,15.67752,0.7083934
36,390,128,198,132,35,365,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
37,390,128,202,132,35,369,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
38,390,128,205,133,35,373,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
39,390,128,206,141,35,382,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
40,390,128,207,142,35,384,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
41,440,128,250,149,35,434,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
42,440,128,253,149,35,437,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
43,440,128,254,149,35,438,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
44,440,128,254,150,35,439,88.1115,0.6022581,0,118.5878,23.35192,16.91537,15.12095,0.6966646
