DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,150,0,0,0,0,0,80,0,120,0,40,0,60,0
2,150,0,3,0,0,3,80,0,120,0,40,0,60,0
3,150,0,7,1,0,8,80,0,120,0,40,0,60,0
4,150,0,9,1,0,10,80,0,120,0,40,0,60,0
5,150,0,12,2,0,14,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,150,0,13,2,0,15,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,150,0,13,2,0,15,80,0,120,0,40,0,60,0
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,150,0,18,2,3,23,80,0,120,0,40,0,60,0
7,166,16,24,2,3,29,47.61909,0,87.61909,63.80952,31.85442,0,51.93943,3.560041
8,171,21,26,2,3,31,47.61909,0,87.61909,63.80952,31.85442,0,51.93943,3.560041
9,173,23,32,2,4,38,47.61909,0,87.61909,63.80952,31.85442,0,51.93943,3.560041
10,174,24,34,2,8,44,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
11,224,25,44,2,8,54,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
12,226,27,51,2,8,61,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
13,226,27,55,2,8,65,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
14,226,27,58,2,8,68,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
15,226,27,62,3,8,73,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
16,215,27,64,6,8,78,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
17,215,27,69,6,9,84,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
18,215,27,73,6,12,91,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
19,215,27,76,6,12,94,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
20,215,27,78,6,12,96,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
21,261,28,105,6,12,123,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
22,261,28,114,16,13,143,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
23,261,28,118,24,13,155,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
24,261,28,122,24,13,159,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
25,261,28,129,24,13,166,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
26,256,28,135,24,13,172,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
27,256,28,143,24,14,181,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
28,256,28,147,29,14,190,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
29,256,28,149,30,14,193,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
30,256,28,154,30,14,198,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
31,306,28,188,30,14,232,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
32,306,28,191,30,14,235,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
33,306,28,198,34,14,246,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
34,306,28,204,35,14,253,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
35,306,28,208,35,14,257,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
36,306,28,213,35,14,262,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
37,306,28,217,35,14,266,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
38,306,28,220,35,14,269,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
39,306,28,224,36,14,274,0,44.23281,131.8519,22.96298,28.69609,5.388725,53.36906,0.6407419
