DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,3,0,0,0,0,0,80,0,120,0,40,0,60,0
2,3,0,0,0,0,0,80,0,120,0,40,0,60,0
3,3,0,0,0,0,0,80,0,120,0,40,0,60,0
4,3,0,0,0,0,0,80,0,120,0,40,0,60,0
5,3,0,0,0,0,0,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,3,0,0,0,0,0,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,3,0,0,0,0,0,80,0,120,0,40,0,60,0
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,3,0,0,0,0,0,80,0,120,0,40,0,60,0
7,3,0,0,0,0,0,80,0,120,0,40,0,60,0
8,3,0,0,0,0,0,80,0,120,0,40,0,60,0
9,3,0,0,0,0,0,80,0,120,0,40,0,60,0
10,3,0,0,0,0,0,80,0,120,0,40,0,60,0
11,49,0,0,2,0,2,80,0,120,0,40,0,60,0
12,49,0,0,2,0,2,80,0,120,0,40,0,60,0
13,49,0,0,3,0,3,80,0,120,0,40,0,60,0
14,49,0,1,4,0,5,80,0,120,0,40,0,60,0
15,49,0,1,4,0,5,80,0,120,0,40,0,60,0
