DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,168,18,0,44,0,44,0,0,0,200,18.30889,0,34.36753,14.31981
2,215,65,0,86,0,86,0,0,0,200,18.30889,0,34.36753,14.31981
3,220,70,4,90,1,95,0,0,0,200,18.30889,0,34.36753,14.31981
4,220,70,12,90,1,103,0,0,0,200,18.30889,0,34.36753,14.31981
5,220,70,14,93,2,109,0,0,0,200,18.30889,0,34.36753,14.31981
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,220,70,14,93,2,109,0,0,0,200,18.30889,0,34.36753,14.31981
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,220,70,15,93,2,110,0,0,0,200,18.30889,0,34.36753,14.31981
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,221,70,17,93,3,113,0,0,0,200,18.30889,0,34.36753,14.31981
