DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,10,0,0,0,0,0,80,0,120,0,40,0,60,0
2,10,0,0,0,0,0,80,0,120,0,40,0,60,0
3,10,0,0,0,0,0,80,0,120,0,40,0,60,0
4,10,0,0,0,0,0,80,0,120,0,40,0,60,0
5,10,0,0,0,0,0,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10,0,0,0,0,0,80,0,120,0,40,0,60,0
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,10,0,0,0,0,0,80,0,120,0,40,0,60,0
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,10,0,0,0,0,0,80,0,120,0,40,0,60,0
7,10,0,0,0,0,0,80,0,120,0,40,0,60,0
8,10,0,0,0,0,0,80,0,120,0,40,0,60,0
9,10,0,0,0,0,0,80,0,120,0,40,0,60,0
10,10,0,0,0,0,0,80,0,120,0,40,0,60,0
11,57,0,5,1,0,6,80,0,120,0,40,0,60,0
