DaysPassed,TotalPopulation,TotalBabies,DeathsAge,DeathsPredator,DeathsStarved,TotalDeaths,FoodTime,BridgesTime,HousesTime,ProcreationTime,AverageFoodTime,AverageBridgesTime,AverageHouseTime,AverageProcreationTime
1,150,0,0,1,0,1,80,0,120,0,40,0,60,0
2,150,0,0,1,0,1,80,0,120,0,40,0,60,0
3,172,22,0,2,0,2,52.38095,0,92.38095,54.28572,33.74318,0,53.82514,3.893444
4,203,53,2,3,0,5,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
5,221,71,4,3,1,8,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,222,72,4,3,1,8,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
5,BeforeFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
5,223,73,6,3,1,10,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
5,AfterFlood,-,-,-,-,-,-,-,-,-,-,-,-,-
6,228,80,14,7,1,22,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
7,230,82,18,7,2,27,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
8,230,82,25,9,20,54,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
9,230,82,29,12,34,75,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
10,230,82,32,12,42,86,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
11,288,91,33,17,56,106,45.39683,20.95237,85.39684,47.3016,30.8146,2.104259,50.90068,2.37526
12,309,112,39,17,68,124,33.65074,56.19062,73.65075,35.55552,24.52543,12.80184,44.61655,0.8504166
13,321,124,41,19,74,134,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
14,327,130,43,22,76,141,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
15,328,131,50,31,78,159,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
16,310,132,53,36,81,170,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
17,310,134,59,37,84,180,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
18,310,134,60,39,86,185,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
19,311,135,64,40,86,190,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
20,311,135,65,40,86,191,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
21,349,144,66,52,86,204,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
22,358,153,67,52,86,205,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
23,363,158,68,54,87,209,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
24,365,160,75,58,88,221,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
25,366,161,77,58,88,223,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
26,342,162,81,65,88,234,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
27,342,162,84,65,88,237,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
28,342,162,85,65,88,238,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
29,342,162,90,65,88,243,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
30,343,163,97,65,88,250,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
31,389,163,103,66,88,257,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
32,391,165,104,66,88,258,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
33,391,165,105,66,90,261,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
34,391,165,112,68,90,270,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
35,391,165,121,68,90,279,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
36,390,165,124,68,90,282,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
37,390,165,126,68,90,284,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
38,390,165,133,68,90,291,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
39,390,165,143,68,90,301,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
40,391,165,150,68,90,308,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
41,440,165,156,68,90,314,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
42,440,165,160,71,90,321,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
43,440,165,165,71,90,326,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
44,440,165,168,74,90,332,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
45,440,165,169,74,90,333,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
46,440,165,175,74,90,339,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
47,440,165,178,74,90,342,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
48,440,165,180,74,90,344,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
49,440,165,184,74,90,348,49.84122,72.3811,25.07931,51.74599,23.9626,19.67253,36.47633,0.8384767
